P(x),Q(x)
-7*x**5 - 9*x**4 - 9*x**3 - 7*x**2 + 8*x - 6,5*x**3 + 5*x**2 - 7*x - 1
-8*x**5 + 4*x**4 - 3*x**3 - 4*x**2 - 5*x - 4,-7*x**3 - 4*x**2 + 2*x + 8
5*x**5 - 7*x**4 + 9*x**3 + 7*x - 4,-7*x**3 - 9*x**2 - x - 5
-9*x**5 - 5*x**4 + 14*x**3 + 15*x**2 - 10*x + 17,-13*x**3 + 2*x**2 - 14*x
-7*x**5 - 5*x**4 + 8*x**3 + 11*x**2 + 15*x - 1,-14*x**3 - 2*x**2 + 15*x + 16
-14*x**5 - 6*x**4 + 17*x**3 + 4*x**2 - 3*x - 2,9*x**3 - 10*x**2 + 9*x - 13
19*x**5 + 23*x**4 + 2*x**3 - 3*x**2 + 26*x + 12,-x**3 - 20*x**2 - 19*x + 19
-10*x**5 + 23*x**4 + 23*x**3 + 26*x - 19,26*x**3 - 27*x**2 + 10*x - 15
13*x**5 + 28*x**4 - 10*x**3 - 18*x**2 - 24*x - 28,-20*x**3 - 4*x**2 - 3*x + 24
-29*x**5 - 32*x**4 + 30*x**3 - 29*x**2 + 2*x - 12,17*x**3 - 34*x**2 + 13*x - 9
28*x**5 + 24*x**4 - 8*x**3 + 27*x**2 - 32*x + 32,17*x**3 - 8*x - 7
-28*x**5 - 19*x**3 - 9*x**2 + 11*x - 30,15*x**3 - 38*x**2 - 6*x + 11
-46*x**5 - 18*x**4 - 30*x**2 + 4*x - 28,34*x**3 + 31*x**2 - 31*x + 38
28*x**5 - 25*x**4 + 30*x**3 - 24*x**2 - 37*x + 39,-25*x**3 - 17*x**2 - 12*x + 47
-33*x**5 + 6*x**4 - 29*x**3 + 30*x**2 + 42*x - 30,-17*x**3 - 6*x - 29
-31*x**5 - 9*x**4 - 36*x**2 - 30*x - 35,23*x**3 - 38*x**2 - 2*x - 30
11*x**5 - 54*x**4 + 44*x**3 + 28*x**2 + 7*x - 37,-8*x**3 - 34*x**2 + 19*x - 53
32*x**5 + 12*x**4 - 6*x**3 - 11*x**2 - 44*x - 56,42*x**3 + 33*x**2 + 23*x - 46
54*x**5 - 60*x**4 + 27*x**3 + 7*x**2 + 54*x - 2,-62*x**3 - 38*x**2 - 19*x + 64
3*x**5 - 11*x**4 + 33*x**3 + 40*x**2 - 9*x - 48,-11*x**3 + 67*x**2 + 28*x - 37
27*x**5 - 3*x**4 - 68*x**3 - 13*x**2 - 24*x + 16,-20*x**3 - 25*x**2 - 37*x - 16
-61*x**5 - 26*x**4 - 2*x**3 - 72*x**2 + 42*x - 56,-32*x**3 + 9*x**2 + 53*x - 59
12*x**5 + 7*x**4 + 19*x**3 + 43*x**2 - 23*x + 37,-35*x**3 - 19*x**2 + 19*x + 35
56*x**5 + 36*x**4 - 71*x**3 + 78*x**2 + 43*x - 50,x**3 + 55*x**2 - 21*x + 23
-72*x**5 + 3*x**4 + 12*x**3 + 56*x**2 + 74*x - 65,-87*x**3 + 72*x**2 + 74
77*x**5 + 69*x**3 - 35*x**2 + 22*x + 88,41*x**3 - 42*x**2 + 52*x - 79
-56*x**5 + 36*x**4 + 66*x**3 + 77*x**2 - 82*x + 69,38*x**3 + 15*x**2 + 2*x - 4
-83*x**5 - 50*x**4 + 10*x**3 + 95*x**2 + 12*x + 63,-35*x**3 + 14*x**2 + 10*x - 86
-50*x**5 - 70*x**4 - 56*x**3 - 41*x**2 - 71*x - 48,69*x**3 - 38*x**2 + 7*x + 13
