P(x),Q(x)
8*x**5 + x**4 - 9*x**3 + 5*x**2 - 9*x - 1,-3*x**3 - 5*x**2 + 5*x - 5
2*x**5 - x**4 - 9*x**3 + 8*x - 2,-5*x**3 + 2*x**2 + 4*x + 7
-5*x**5 + 2*x**3 - 8*x**2 + 6*x,6*x**3 - 9*x**2 + 3*x - 6
-4*x**5 - 7*x**4 - 3*x**3 - 6*x**2 - 6*x - 1,-5*x**3 + 4*x**2 + 2*x - 6
-7*x**5 - 7*x**4 - 9*x**3 - 3*x**2 + 5*x - 4,-4*x**3 - 3*x**2 + 8*x + 2
-15*x**5 + 17*x**3 - 15*x**2 - 11*x + 10,4*x**3 + 7*x**2 - 7*x + 6
13*x**5 - 9*x**4 + 16*x**3 - 17*x**2 - x - 10,8*x**3 + 7*x**2 + 19*x - 18
14*x**5 + 14*x**4 + 19*x**3 - 19*x**2 - 4*x - 2,13*x**3 - 2*x**2 + 2*x - 15
12*x**5 - 19*x**4 + 15*x**3 - 7*x**2 - 3*x + 8,19*x**3 + 8*x**2 + 17*x - 19
9*x**5 + 17*x**3 - 3*x**2 + 14*x - 14,-17*x**3 + 5*x**2 - 11*x + 1
17*x**5 - 10*x**4 + 29*x**3 + 14*x**2 + 16*x + 17,-25*x**3 - 26*x**2 - x - 14
-20*x**5 - 3*x**4 - 9*x**3 + 10*x**2 - 15*x - 29,20*x**3 + 12*x**2 + 20*x + 11
-23*x**5 - 26*x**4 - 6*x**2 + 4*x - 24,-11*x**3 + 22*x**2 - 28*x - 20
-22*x**5 - 3*x**4 + 13*x**3 - 3*x**2 - 23*x - 6,-18*x**3 + 3*x**2 - 16*x - 5
29*x**5 - 9*x**4 + 7*x**3 - 9*x**2 + 3*x + 6,21*x**3 - 17*x**2 + 24*x - 12
-25*x**5 + 20*x**4 - 37*x**3 - 32*x**2 - 22*x + 36,35*x**3 - 20*x**2 - 36*x + 12
-27*x**5 - 25*x**4 + 28*x**3 - 37*x**2 + 13*x + 31,-4*x**3 + 3*x**2 - 3*x - 29
11*x**5 - 4*x**4 - 23*x**3 - 31*x**2 - 37*x + 11,-28*x**3 - 2*x**2 - 5*x - 25
33*x**5 - 33*x**4 - 6*x**3 + 28*x**2 + 8*x + 13,6*x**3 - 17*x**2 - 37*x - 19
24*x**5 + 26*x**4 - 13*x**3 + 37*x**2 + 10*x + 5,4*x**3 - 38*x**2 - 23*x - 27
-16*x**5 - 25*x**4 - 29*x**3 + 9*x**2 - 17*x - 46,13*x**3 - 27*x**2 - 38*x + 44
46*x**5 + 28*x**4 - 39*x**3 + 18*x**2 - 11*x - 4,-39*x**3 - 20*x**2 + 48*x - 37
-13*x**5 + 12*x**4 + 47*x**3 - 18*x**2 + 28*x - 31,-15*x**3 - 27*x**2 + 6*x - 17
37*x**5 + 37*x**4 - 16*x**3 - 12*x**2 + 17*x + 34,-38*x**3 - 45*x**2 + 42*x + 3
-28*x**5 - 41*x**4 - 44*x**3 + 46*x**2 - 16*x - 37,-11*x**3 + 37*x**2 - 40*x - 18
-58*x**5 - 38*x**4 + 26*x**3 - 38*x**2 + 36*x - 40,27*x**3 + 6*x**2 - 10*x - 18
-42*x**5 + 8*x**4 - 27*x**3 + 37*x**2 - 24*x + 45,-49*x**3 + 50*x**2 - 27*x - 21
-24*x**5 + 43*x**4 + 15*x**3 - 36*x**2 + x - 38,8*x**3 + 8*x**2 + 34*x - 29
-49*x**5 - 16*x**4 + 58*x**3 - 23*x**2 - 33*x + 17,15*x**3 - 53*x**2 + 4*x + 26
17*x**5 + 26*x**4 - 17*x**3 + 51*x**2 - 29*x - 36,-42*x**3 - 43*x**2 + 50*x - 36
57*x**5 + 43*x**4 - 63*x**3 + 43*x**2 - 48*x + 55,25*x**3 + 22*x**2 + 64*x + 29
8*x**5 - 24*x**4 - 17*x**3 - 43*x**2 + 54*x + 17,-11*x**3 + 57*x**2 + 40*x - 31
-53*x**5 - 5*x**4 + 55*x**3 + 44*x**2 - 31*x - 51,50*x**3 - 40*x**2 + 6*x + 59
66*x**5 - 44*x**4 - 47*x**3 + 16*x**2 + 69*x - 30,-32*x**3 + 54*x**2 + 52*x - 27
-59*x**5 - 44*x**4 - 8*x**3 - 21*x**2 - 45*x - 16,47*x**3 - 26*x**2 + 58*x + 51
6*x**5 - 52*x**4 + 50*x**3 + 61*x**2 - 26*x - 34,-60*x**3 - 18*x**2 - 67*x - 47
-28*x**5 - 79*x**4 - 57*x**3 + 76*x**2 - 65*x + 11,74*x**3 + 34*x**2 + 58*x - 64
29*x**5 + 38*x**4 - 38*x**3 + 58*x**2 + 17*x + 70,29*x**3 + 54*x**2 - 43*x + 9
-29*x**5 - 16*x**4 + 75*x**3 + 48*x**2 - 15*x - 72,-33*x**3 - 54*x**2 + 51*x - 27
-15*x**5 - 56*x**4 + 62*x**3 + 69*x**2 + 2*x + 27,2*x**3 + 46*x**2 + 73*x + 4
-5*x**5 + 26*x**4 - 6*x**3 - 76*x**2 + 46*x - 26,4*x**3 + 5*x**2 - 36*x + 87
6*x**5 + 49*x**4 + 28*x**3 + 86*x**2 - 65*x + 12,44*x**3 - 73*x**2 - 49*x + 56
29*x**5 + 40*x**4 - 36*x**3 - 37*x**2 - 4*x + 65,28*x**3 - 34*x**2 + 66*x - 4
-3*x**5 - 13*x**4 + 25*x**3 + 22*x**2 - 77*x + 17,-69*x**3 + 30*x**2 + 50*x + 81
42*x**5 + 72*x**4 - 83*x**3 + 32*x**2 + 61*x - 82,-26*x**3 - 36*x**2 + 43*x - 85
-87*x**5 + 52*x**4 - 48*x**3 + 27*x**2 - 48*x + 80,87*x**3 - 71*x**2 + 41*x + 75
20*x**5 - 10*x**4 + 21*x**3 + 45*x**2 + 42*x - 24,-78*x**3 + 14*x**2 - 79*x - 8
17*x**5 - 86*x**4 - 84*x**3 + 70*x**2 - 96*x + 10,96*x**3 - 66*x**2 - 94*x - 75
-72*x**5 - 49*x**4 + 6*x**3 - 43*x**2 - 21*x - 13,97*x**3 + 93*x**2 - 94*x + 88
77*x**5 + 22*x**4 - 50*x**3 - 9*x**2 - 9*x + 39,98*x**3 + 54*x**2 - 31*x - 50
-58*x**5 + 14*x**4 - 14*x**2 + 38*x + 72,-57*x**3 + 78*x**2 + 47*x - 80
-9*x**5 + x**4 - 94*x**3 + 51*x**2 + 96*x - 88,-50*x**3 - 81*x**2 - 23*x - 103
44*x**5 - 29*x**4 - 98*x**3 + 73*x**2 + x + 20,-62*x**3 + 83*x**2 + 92*x - 18
2*x**5 - 29*x**4 + 40*x**3 - 68*x**2 - 28*x + 70,-23*x**3 - 106*x**2 + 6*x + 5
58*x**5 + 72*x**4 + 57*x**3 + 100*x**2 + 95*x - 88,50*x**3 + 10*x**2 + 100*x + 68
51*x**5 + 64*x**4 - 82*x**3 + 67*x**2 - 103*x - 25,-31*x**3 - 98*x**2 + 87*x + 32
-30*x**5 - 68*x**4 + 12*x**3 + 25*x**2 + 100*x - 77,-42*x**3 + 62*x**2 - 59*x - 72
-103*x**5 + 109*x**4 - 29*x**3 + 39*x**2 - 29*x - 113,-17*x**3 + 81*x**2 - 74*x - 77
77*x**5 - 51*x**4 - 57*x**3 - 42*x**2 - 84*x + 42,-39*x**3 - 71*x**2 + 56*x + 89
-63*x**5 + 29*x**4 - 15*x**3 - 48*x**2 + 94*x,-33*x**3 - 18*x**2 + 34*x - 2
74*x**5 - 126*x**4 - 58*x**3 - 120*x**2 + 88*x - 20,9*x**3 + 103*x**2 + 28*x + 39
125*x**5 + 116*x**4 - x**3 - 36*x**2 + 76*x - 104,-12*x**3 + 33*x**2 + 71*x - 72
-104*x**5 + 118*x**4 + 29*x**3 - 96*x**2 + 13*x - 96,-2*x**3 + 74*x**2 + 7*x - 78
106*x**5 + 57*x**4 - 58*x**3 + 34*x**2 - 103*x - 55,129*x**3 - 33*x**2 + 99*x + 1
-26*x**5 + 119*x**4 - 57*x**3 + 13*x**2 - 102*x + 118,55*x**3 - 65*x**2 - 38*x + 122
-92*x**5 - 134*x**4 - 46*x**3 - 131*x**2 - 67*x + 10,-54*x**3 - 69*x**2 + 121*x - 123
-23*x**5 + 82*x**4 - 28*x**3 + 108*x**2 - 86*x - 49,-86*x**3 + 73*x**2 - 128*x + 31
32*x**5 + 117*x**4 + 79*x**3 - 104*x**2 + 125*x + 57,-70*x**3 + 87*x**2 - 40*x + 105
-100*x**5 - 12*x**4 + 107*x**3 - 81*x**2 - 130*x + 120,-42*x**3 - 17*x**2 - 15*x - 54
-10*x**5 - 14*x**4 - 47*x**3 - 138*x**2 - 32*x - 46,48*x**3 - 103*x**2 + 12*x - 54
-13*x**5 + 38*x**4 - 102*x**3 + 112*x**2 - 5*x - 68,24*x**3 + 109*x**2 + 59*x - 37
-98*x**5 - 8*x**4 - 29*x**3 - 22*x**2 - 75*x,-40*x**3 + 42*x**2 + 61*x + 84
93*x**5 - 34*x**4 + 30*x**3 - 26*x**2 - 71*x - 20,-45*x**3 + 19*x**2 - 121*x + 103
-118*x**5 + 74*x**4 - 72*x**3 + 33*x**2 - 75*x - 31,2*x**3 + 106*x**2 + 34*x - 144
30*x**5 + 73*x**4 + 66*x**3 + 78*x**2 + 68*x + 1,-64*x**3 + 4*x**2 - 12*x - 53
-37*x**5 + 56*x**4 - 152*x**3 - 128*x**2 + 11*x + 3,4*x**3 + 113*x**2 + 127*x + 80
94*x**5 - 77*x**4 + 101*x**3 + 90*x**2 + 30*x + 85,137*x**3 + 91*x**2 - 150*x - 88
-118*x**5 + 92*x**4 + 103*x**3 - 15*x**2 - 159*x - 53,148*x**3 + 65*x**2 - 56*x + 159
106*x**5 + 149*x**4 - 30*x**3 - 98*x**2 + 92*x - 12,133*x**3 + 132*x**2 + 122*x + 147
-40*x**5 + 18*x**4 - 140*x**3 + 79*x**2 - 59*x - 99,-34*x**3 + 27*x**2 - 143*x + 102
-101*x**5 - 25*x**4 + 94*x**3 + 35*x**2 - 77*x - 48,-144*x**3 + 104*x**2 - 41*x + 106
62*x**5 - 25*x**4 - 118*x**3 + 17*x**2 + 92*x - 123,-80*x**3 + 100*x**2 - 101*x - 62
